Schema,Table,Modul,Canonical,LegacyAday,PrimaryKey,ForeignKeys,UniqueConstraints,CheckConstraints,RLS_Enabled,Policy_Sayisi,Frontend_from_Ref,Frontend_Genis_Ref,Migration_Ref,Index_Sayisi,Trigger_Sayisi,Est_Rows,Veri_Hassasiyeti,Durum,Oneri
public,_member_backup_20260609,AUTH_PROFILE,hayir,EVET,,,,0,HAYIR,0,0,1,1,0,0,-1,HIGH,RETIREMENT_CANDIDATE,Kullanim kanitla; veri tasiyip retire et (Faz 06 taslak)
public,admin_audit_logs,ADMIN,kismi,hayir,id,,,3,EVET,1,1,2,2,4,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,advisor_details,CATALOG,kismi,hayir,item_id,item_id->catalog_items(CASCADE),,6,EVET,2,1,2,3,1,4,-1,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,advisor_social_media_links,DIRECTORY,hayir,EVET,id,,,12,EVET,2,0,2,4,3,0,58,LOW,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,appointments,DIRECTORY,kismi,hayir,id,,,10,EVET,4,3,4,2,3,2,-1,HIGH,ACTIVE_MODULE,Koru; modul tablosu
public,approval_requests,AUTH_PROFILE,kismi,hayir,id,target_feature_key->feature_catalog(SET NULL),,7,EVET,5,2,4,9,7,1,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,arge_cards,WORKSPACE,hayir,hayir,id,,,5,EVET,2,0,1,0,1,0,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,arge_files,WORKSPACE,hayir,hayir,id,card_id->arge_cards(SET NULL),,7,EVET,2,0,1,0,2,0,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,arge_links,WORKSPACE,hayir,hayir,id,card_id->arge_cards(SET NULL),,7,EVET,2,0,1,0,2,0,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,attribute_catalog,ROLESGO,kismi,hayir,id,,key,10,EVET,1,3,5,28,3,0,53,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,business_details,CATALOG,kismi,hayir,item_id,item_id->catalog_items(CASCADE),,6,EVET,2,1,2,3,1,4,-1,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_billboard_cards,CADDE,kismi,hayir,id,city_id->cadde_cities(SET NULL); country_id->cadde_countries(SET NULL),,15,EVET,2,1,2,1,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_cafe_members,CADDE,kismi,hayir,id,cafe_id->cadde_cafes(CASCADE),"cafe_id,user_id",4,EVET,3,1,2,2,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_cafes,CADDE,kismi,hayir,id,city_id->cadde_cities(SET NULL); country_id->cadde_countries(SET NULL),,14,EVET,4,1,2,2,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_cities,CADDE,kismi,hayir,id,country_id->cadde_countries(CASCADE),"country_id,name",7,EVET,2,1,2,1,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_countries,CADDE,kismi,hayir,id,,code,6,EVET,2,1,2,1,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_post_comments,CADDE,kismi,hayir,id,post_id->cadde_posts(CASCADE),,6,EVET,4,1,2,2,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_post_reactions,CADDE,kismi,hayir,id,post_id->cadde_posts(CASCADE),"post_id,user_id,reaction_type",6,EVET,3,1,2,2,3,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_posts,CADDE,kismi,hayir,id,city_id->cadde_cities(SET NULL); country_id->cadde_countries(SET NULL),,12,EVET,4,1,2,2,4,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cadde_sponsored_placements,CADDE,kismi,hayir,id,city_id->cadde_cities(SET NULL); country_id->cadde_countries(SET NULL),,13,EVET,2,1,2,1,2,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,cafe_memberships,CADDE,hayir,EVET,id,cafe_id->cafes(CASCADE),"cafe_id,user_id",5,EVET,5,3,7,2,3,4,-1,LOW,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,cafes,CADDE,hayir,EVET,id,,,14,EVET,4,0,5,5,4,1,-1,LOW,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_audit_logs,CATALOG,hayir,EVET,id,item_id->catalog_items(CASCADE),,4,EVET,1,0,1,4,2,0,-1,LOW,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_categories,CATALOG,kismi,hayir,id,module->catalog_item_types(CASCADE); parent_id->catalog_categories(SET NULL),slug,8,EVET,1,1,2,13,4,4,86,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,catalog_claim_requests,CATALOG,hayir,EVET,id,item_id->catalog_items(CASCADE),,9,EVET,4,0,1,9,3,1,-1,LOW,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_item_attribute_overrides,CATALOG,hayir,EVET,id,attribute_key->attribute_catalog(CASCADE); item_id->catalog_items(CASCADE),"item_id,attribute_key",6,EVET,2,0,1,4,3,0,-1,MEDIUM,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_item_attributes,CATALOG,hayir,EVET,id,attribute_id->attribute_catalog(CASCADE); item_id->catalog_items(CASCADE),"item_id,attribute_id",10,EVET,3,0,1,4,4,1,-1,MEDIUM,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_item_categories,CATALOG,kismi,hayir,"item_id,category_id",category_id->catalog_categories(CASCADE); item_id->catalog_items(CASCADE),,4,EVET,2,1,3,11,3,3,515,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,catalog_item_contacts,CATALOG,kismi,hayir,id,item_id->catalog_items(CASCADE),,10,EVET,2,1,2,5,3,4,274,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,catalog_item_favorites,CATALOG,hayir,EVET,"item_id,user_id",item_id->catalog_items(CASCADE),,3,EVET,2,0,1,2,1,0,-1,MEDIUM,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_item_feature_overrides,CATALOG,hayir,EVET,id,feature_key->feature_catalog(CASCADE); item_id->catalog_items(CASCADE),"item_id,feature_key",6,EVET,3,0,1,9,3,3,-1,MEDIUM,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,catalog_item_languages,CATALOG,kismi,hayir,"item_id,language_code",item_id->catalog_items(CASCADE),,4,EVET,2,1,2,5,2,3,20,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,catalog_item_links,CATALOG,hayir,EVET,id,item_id->catalog_items(CASCADE),,8,EVET,2,0,1,4,2,4,484,MEDIUM,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
