"slug","country","country_code","city","city_normalized","mission_name","mission_name_normalized","mission_type","parent_mission_slug","address","phones","emails","faxes","emergency_phones","website_url","appointment_url","jurisdiction","working_hours","office_hours_structured","consular_call_center","parser_confidence","data_completeness_score","status","verification_status","source_hash","source_url","scraped_at","last_verified_at","contact_fields","raw_snapshot"
"abidjan-buyukelciligi-https-abidjan-be-mfa-gov-tr","Fildişi Sahili","CI","Abidjan","abidjan","Abidjan Büyükelçiliği","abidjan buyukelciligi","embassy",,,"[]","[]","[]","[]","https://abidjan-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","124b9b04986d34b928b8fb91a400de036b5765e0","https://abidjan-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.005Z","2026-06-02T08:31:22.005Z","{""directory_mission_id"":1100179,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150027,""directory_web_key"":""abidjan-be."",""normalized_city"":""abidjan"",""normalized_mission_name"":""abidjan buyukelciligi"",""country_code_inferred"":""CI"",""has_structured_working_hours"":false}","{""misyonId"":1100179,""misyonAdi"":""Abidjan Büyükelçiliği"",""misyonAdiKisa"":""Abidjan BE"",""url"":""http://abidjan-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150027,""ulkeKod"":""CIV"",""ulkeAd"":""Fildişi Sahili"",""webKey"":""abidjan-be.""}"
"abu-dabi-buyukelciligi-bize-yazin-acil-durum-https-abudhabi-be-mfa-gov-tr-mission-contact","Birleşik Arap Emirlikleri","AR","Abu Dabi","abu dabi","Abu Dabi Büyükelçiliği Bize yazın Acil Durum","abu dabi buyukelciligi bize yazin acil durum","embassy",,"Embassy of the Republic of Türkiye Embassy’s Area, W59-02 /1, No:34, P.O.Box:3204, Abu Dhabi-UAE.","[]","[""embassy.abudhabi@mfa.gov.tr""]","[""+971 2 410 99 05"",""+971 2 441 71 68""]","[""+971 50 869 93 89""]","https://abudhabi-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/","Abu Dabi Emirliği Akredite ülkeler : Birleşik Arap Emirlikleri","ÇALIŞMA SAATLERİ KONSOLOSLUK ÇAĞRI MERKEZİ 7/24 YABANCI DÜŞMANLIĞI BİLDİRİMİ GO TÜRKİYE HEALTH TÜRKİYE STUDY IN TÜRKİYE TÜRKİYE'DE YATIRIM İMKANLARI TÜRKİYE TECH VISA FOTOĞRAF ALBÜMÜ","{}","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24 YABANCI DÜŞMANLIĞI BİLDİRİMİ GO TÜRKİYE HEALTH TÜRKİYE STUDY IN TÜRKİYE TÜRKİYE'DE YATIRIM İMKANLARI TÜRKİYE TECH","83","78","active","official_source_scraped","39245113430482969d78df9edf8837a5bedbe968","https://abudhabi-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:32:49.226Z","2026-06-02T08:32:49.226Z","{""directory_mission_id"":1100004,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150008,""directory_web_key"":""abudhabi-be."",""normalized_city"":""abu dabi"",""normalized_mission_name"":""abu dabi buyukelciligi bize yazin acil durum"",""country_code_inferred"":""AR"",""has_structured_working_hours"":false,""websites"":[],""detected_emails"":[""embassy.abudhabi@mfa.gov.tr""],""detected_phones"":[""+971 2 410 99 99"",""+971 2 410 99 47"",""410 99 00 / 410 99 27"",""+971 50 869 93 89"",""+971 2 410 99 05"",""+971 2 441 71 68""]}","{""misyonId"":1100004,""misyonAdi"":""Abu Dabi Büyükelçiliği"",""misyonAdiKisa"":""Abu Dabi BE"",""url"":""http://abudhabi-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150008,""ulkeKod"":""ARE"",""ulkeAd"":""Birleşik Arap Emirlikleri"",""webKey"":""abudhabi-be."",""supplemental_snapshots"":[{""source_url"":""https://abudhabi-be.mfa.gov.tr/Mission/Contact"",""page_title"":""Abu Dabi Büyükelçiliği\n Bize yazın\n Acil Durum"",""body_text"":""TÜRKİYE CUMHURİYETİ\nABU DABİ BÜYÜKELÇİLİĞİ\nBüyükelçilik\nBilgi Notları Konsolosluk İşlemleri İletişim\nTürkçe\nRandevu Al\nRandevu Sorgula\nRandevu İptali\nAbu Dabi Büyükelçiliği\nBize yazın\nAcil Durum\nAbu Dabi Büyükelçiliği\nEmbassy of the Republic of Türkiye Embassy s Area W59 02 /1 No:34 P O Box:3204 Abu Dhabi UAE\n×\n+\n−\nLeaflet | © HGM Atlas\nKonsolosluk başvuru saatleri:\n09:00 - 14:30)\nPosta adresi\nEmbassy of the Republic of Türkiye\nEmbassy’s Area, W59-02 /1, No:34, P.O.Box:3204, Abu Dhabi-UAE.\nE-posta\nembassy.abudhabi@mfa.gov.tr Telefon\nBüyükelçilik Santrali: +971 2 410 99 99\n+971 2 410 99 47\nKonsolosluk Şubesi: 410 99 00 / 410 99 27\nMesai saatleri dışı sadece acil durumlarda: +971 50 869 93 89\nNöbetçi / Acil Durum Telefonu\n+971 50 869 93 89\nFaks\nBüyükelçilik: +971 2 410 99 05\nKonsolosluk Şubesi: +971 2 441 71 68\n: Abu Dabi Büyükelçiliği\n: Abu Dabi Büyükelçiliği\nGörev Bölgesi :\nAbu Dabi Emirliği\nAkredite ülkeler :\nBirleşik Arap Emirlikleri\nBağlı Birimler\nAskeri Ataşelik\nİletişim Müşavirliği\nTicaret Müşavirliği\nLütfullah Göktaş\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ\nKONSOLOSLUK ÇAĞRI MERKEZİ 7/24\nYABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}]}"
"abuja-buyukelciligi-https-abuja-be-mfa-gov-tr","Nijerya","NG","Abuja","abuja","Abuja Büyükelçiliği","abuja buyukelciligi","embassy",,,"[]","[]","[]","[]","https://abuja-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","76cec97d7660d3a7c93fca79284e4c4565c51d40","https://abuja-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.016Z","2026-06-02T08:31:22.016Z","{""directory_mission_id"":1100096,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150142,""directory_web_key"":""abuja-be."",""normalized_city"":""abuja"",""normalized_mission_name"":""abuja buyukelciligi"",""country_code_inferred"":""NG"",""has_structured_working_hours"":false}","{""misyonId"":1100096,""misyonAdi"":""Abuja Büyükelçiliği"",""misyonAdiKisa"":""Abuja BE"",""url"":""http://abuja-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150142,""ulkeKod"":""NGA"",""ulkeAd"":""Nijerya"",""webKey"":""abuja-be.""}"
"addis-ababa-buyukelciligi-https-addisababa-be-mfa-gov-tr","Etiyopya","ET","Addis Ababa","addis ababa","Addis Ababa Büyükelçiliği","addis ababa buyukelciligi","embassy",,,"[]","[]","[]","[]","https://addisababa-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","b2ade341895b1ee6dabb655f6c0221c41fe64a33","https://addisababa-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.005Z","2026-06-02T08:31:22.005Z","{""directory_mission_id"":1100012,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150025,""directory_web_key"":""addisababa-be."",""normalized_city"":""addis ababa"",""normalized_mission_name"":""addis ababa buyukelciligi"",""country_code_inferred"":""ET"",""has_structured_working_hours"":false}","{""misyonId"":1100012,""misyonAdi"":""Addis Ababa Büyükelçiliği"",""misyonAdiKisa"":""Addis Ababa BE"",""url"":""http://addisababa-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150025,""ulkeKod"":""ETH"",""ulkeAd"":""Etiyopya"",""webKey"":""addisababa-be.""}"
"akra-buyukelciligi-https-akra-be-mfa-gov-tr","Gana","GH","Akra","akra","Akra Büyükelçiliği","akra buyukelciligi","embassy",,,"[]","[]","[]","[]","https://akra-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","eafb50072f01fa05f6b1cd6d5052c67abadd33b4","https://akra-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.006Z","2026-06-02T08:31:22.006Z","{""directory_mission_id"":1100180,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150032,""directory_web_key"":""akra-be."",""normalized_city"":""akra"",""normalized_mission_name"":""akra buyukelciligi"",""country_code_inferred"":""GH"",""has_structured_working_hours"":false}","{""misyonId"":1100180,""misyonAdi"":""Akra Büyükelçiliği"",""misyonAdiKisa"":""Akra BE"",""url"":""http://akra-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150032,""ulkeKod"":""GHA"",""ulkeAd"":""Gana"",""webKey"":""akra-be.""}"
"aktau-baskonsoloslugu-https-aktau-bk-mfa-gov-tr","Kazakistan","KA","Aktau","aktau","Aktau Başkonsolosluğu","aktau baskonsoloslugu","consulate_general",,,"[]","[]","[]","[]","https://aktau-bk.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","21bdcd488b9b5db6cc80d00faad0cc7de4b82941","https://aktau-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.009Z","2026-06-02T08:31:22.009Z","{""directory_mission_id"":1100773,""directory_mission_type_label"":""Başkonsolosluk"",""directory_country_id"":150054,""directory_web_key"":""aktau-bk."",""normalized_city"":""aktau"",""normalized_mission_name"":""aktau baskonsoloslugu"",""country_code_inferred"":""KA"",""has_structured_working_hours"":false}","{""misyonId"":1100773,""misyonAdi"":""Aktau Başkonsolosluğu"",""misyonAdiKisa"":""Aktau BK"",""url"":""http://aktau-bk.mfa.gov.tr/"",""misyonTurId"":30002,""misyonTurAdi"":""Başkonsolosluk"",""ulkeId"":150054,""ulkeKod"":""KAZ"",""ulkeAd"":""Kazakistan"",""webKey"":""aktau-bk.""}"
"almati-baskonsoloslugu-https-almati-bk-mfa-gov-tr","Kazakistan","KA","Almatı","almati","Almatı Başkonsolosluğu","almati baskonsoloslugu","consulate_general",,,"[]","[]","[]","[]","https://almati-bk.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","a8f92513c52a1911e3a59f5abda9ab4f843417c3","https://almati-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.009Z","2026-06-02T08:31:22.009Z","{""directory_mission_id"":1110008,""directory_mission_type_label"":""Başkonsolosluk"",""directory_country_id"":150054,""directory_web_key"":""almati-bk."",""normalized_city"":""almati"",""normalized_mission_name"":""almati baskonsoloslugu"",""country_code_inferred"":""KA"",""has_structured_working_hours"":false}","{""misyonId"":1110008,""misyonAdi"":""Almatı Başkonsolosluğu"",""misyonAdiKisa"":""Almatı BK"",""url"":""http://almati-bk.mfa.gov.tr/"",""misyonTurId"":30002,""misyonTurAdi"":""Başkonsolosluk"",""ulkeId"":150054,""ulkeKod"":""KAZ"",""ulkeAd"":""Kazakistan"",""webKey"":""almati-bk.""}"
"amman-buyukelciligi-https-amman-be-mfa-gov-tr","Ürdün","JO","Amman","amman","Amman Büyükelçiliği","amman buyukelciligi","embassy",,,"[]","[]","[]","[]","https://amman-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","232f2bf595f1104f107f81700e61be985b1f0c2f","https://amman-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.014Z","2026-06-02T08:31:22.014Z","{""directory_mission_id"":1100066,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150122,""directory_web_key"":""amman-be."",""normalized_city"":""amman"",""normalized_mission_name"":""amman buyukelciligi"",""country_code_inferred"":""JO"",""has_structured_working_hours"":false}","{""misyonId"":1100066,""misyonAdi"":""Amman Büyükelçiliği"",""misyonAdiKisa"":""Amman BE"",""url"":""http://amman-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150122,""ulkeKod"":""JOR"",""ulkeAd"":""Ürdün"",""webKey"":""amman-be.""}"
"amsterdam-baskonsoloslugu-https-amsterdam-bk-mfa-gov-tr","Hollanda","NL","Amsterdam","amsterdam","Amsterdam Başkonsolosluğu","amsterdam baskonsoloslugu","consulate_general",,,"[]","[]","[]","[]","https://amsterdam-bk.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","17c4a56c92a92b33a6c47e57f47b0ecf66380068","https://amsterdam-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.022Z","2026-06-02T08:31:22.022Z","{""directory_mission_id"":11083030,""directory_mission_type_label"":""Başkonsolosluk"",""directory_country_id"":150170,""directory_web_key"":""amsterdam-bk."",""normalized_city"":""amsterdam"",""normalized_mission_name"":""amsterdam baskonsoloslugu"",""country_code_inferred"":""NL"",""has_structured_working_hours"":false}","{""misyonId"":11083030,""misyonAdi"":""Amsterdam Başkonsolosluğu"",""misyonAdiKisa"":""Amsterdam BK"",""url"":""http://amsterdam-bk.mfa.gov.tr/"",""misyonTurId"":30002,""misyonTurAdi"":""Başkonsolosluk"",""ulkeId"":150170,""ulkeKod"":""NLD"",""ulkeAd"":""Hollanda"",""webKey"":""amsterdam-bk.""}"
"antananarivo-buyukelciligi-https-antananarivo-be-mfa-gov-tr","Madagaskar","MD","Antananarivo","antananarivo","Antananarivo Büyükelçiliği","antananarivo buyukelciligi","embassy",,,"[]","[]","[]","[]","https://antananarivo-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","a6d764a0ecfce0f35f44a79fa51fa97d4b81ea3a","https://antananarivo-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.011Z","2026-06-02T08:31:22.011Z","{""directory_mission_id"":1100181,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150067,""directory_web_key"":""antananarivo-be."",""normalized_city"":""antananarivo"",""normalized_mission_name"":""antananarivo buyukelciligi"",""country_code_inferred"":""MD"",""has_structured_working_hours"":false}","{""misyonId"":1100181,""misyonAdi"":""Antananarivo Büyükelçiliği"",""misyonAdiKisa"":""Antananarivo BE"",""url"":""http://antananarivo-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150067,""ulkeKod"":""MDG"",""ulkeAd"":""Madagaskar"",""webKey"":""antananarivo-be.""}"
